date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:13	139410/-1	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2010:29:12%20GMT	https://relais-accueil.fr/	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/index.html	(from )
11:29:15	5756/5756	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jan%202024%2019:40:55%20GMT	https://relais-accueil.fr/wp-content/themes/hello-elementor/style.min.css?ver=3.0.1	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/themes/hello-elementor/style.min41fe.css	(from https://relais-accueil.fr/)
11:29:15	767/-1	---M--	200	added ('OK')	application/rss+xml	etag:%22a925b4ca6a7b33ef6193e664ba3912f3%22	https://relais-accueil.fr/comments/feed/	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/comments/feed/index.html	(from https://relais-accueil.fr/)
11:29:16	5131/5131	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jan%202024%2019:40:55%20GMT	https://relais-accueil.fr/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.1	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/themes/hello-elementor/theme.min41fe.css	(from https://relais-accueil.fr/)
11:29:16	25698/-1	---M--	200	added ('OK')	application/rss+xml	etag:%22a925b4ca6a7b33ef6193e664ba3912f3%22	https://relais-accueil.fr/feed/	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/feed/index.html	(from https://relais-accueil.fr/)
11:29:17	7325/7325	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jan%202024%2019:40:55%20GMT	https://relais-accueil.fr/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.1	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/themes/hello-elementor/header-footer.min41fe.css	(from https://relais-accueil.fr/)
11:29:21	19642/19642	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2013:20:17%20GMT	https://relais-accueil.fr/wp-content/plugins/jet-popup/assets/css/jet-popup-frontend.css?ver=2.0.0	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/plugins/jet-popup/assets/css/jet-popup-frontend001e.css	(from https://relais-accueil.fr/)
11:29:37	20034/20034	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Jun%202023%2018:24:57%20GMT	https://relais-accueil.fr/wp-content/plugins/jet-elements/assets/css/jet-elements-skin.css?ver=2.6.10	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/plugins/jet-elements/assets/css/jet-elements-skina23f.css	(from https://relais-accueil.fr/)
11:29:38	19778/19778	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202024%2019:36:58%20GMT	https://relais-accueil.fr/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.29.0	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54b.css	(from https://relais-accueil.fr/)
11:29:38	11053/11053	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:37:49%20GMT	https://relais-accueil.fr/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.20.0	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/plugins/elementor-pro/assets/css/frontend-lite.minc226.css	(from https://relais-accueil.fr/)
11:29:41	16471/16471	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202024%2019:36:58%20GMT	https://relais-accueil.fr/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://relais-accueil.fr/)
11:29:43	31233/31233	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:39:44%20GMT	https://relais-accueil.fr/wp-content/uploads/elementor/css/post-9.css?ver=1710229184	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/uploads/elementor/css/post-98c11.css	(from https://relais-accueil.fr/)
11:29:44	7516/7516	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:39:44%20GMT	https://relais-accueil.fr/wp-content/uploads/elementor/css/post-28.css?ver=1710229184	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/uploads/elementor/css/post-288c11.css	(from https://relais-accueil.fr/)
11:29:45	257490/257490	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Jun%202023%2018:24:57%20GMT	https://relais-accueil.fr/wp-content/plugins/jet-elements/assets/css/jet-elements.css?ver=2.6.10	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/plugins/jet-elements/assets/css/jet-elementsa23f.css	(from https://relais-accueil.fr/)
11:29:49	148077/148077	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:39:44%20GMT	https://relais-accueil.fr/wp-content/uploads/elementor/css/global.css?ver=1710229184	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/uploads/elementor/css/global8c11.css	(from https://relais-accueil.fr/)
11:29:49	58071/58071	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202024%2019:36:58%20GMT	https://relais-accueil.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://relais-accueil.fr/)
11:29:50	669/669	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202024%2019:36:58%20GMT	https://relais-accueil.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://relais-accueil.fr/)
11:29:52	677/677	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202024%2019:36:58%20GMT	https://relais-accueil.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://relais-accueil.fr/)
11:30:03	13577/13577	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2007:42:12%20GMT	https://relais-accueil.fr/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://relais-accueil.fr/)
11:30:05	87553/87553	---M--	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202023%2014:08:08%20GMT	https://relais-accueil.fr/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-includes/js/jquery/jquery.minf43b.js	(from https://relais-accueil.fr/)
11:30:07	816/-1	---M--	200	added ('OK')	text/xml	date:Tue,%2012%20Mar%202024%2010:30:07%20GMT	https://relais-accueil.fr/xmlrpc.php?rsd	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/xmlrpc0db0.php	(from https://relais-accueil.fr/)
11:30:12	2223/-1	---M--	200	added ('OK')	text/xml	date:Tue,%2012%20Mar%202024%2010:30:11%20GMT	https://relais-accueil.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frelais-accueil.fr%2F&format=xml	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-json/oembed/1.0/embedcbed	(from https://relais-accueil.fr/)
11:30:14	77518/-1	---M--	200	added ('OK')	application/json	date:Tue,%2012%20Mar%202024%2010:30:09%20GMT	https://relais-accueil.fr/wp-json/wp/v2/pages/9	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-json/wp/v2/pages/9	(from https://relais-accueil.fr/)
11:30:21	37218/37218	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Apr%202023%2017:37:56%20GMT	https://relais-accueil.fr/wp-content/uploads/2023/04/favicon-300x300.png	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/uploads/2023/04/favicon-300x300.png	(from https://relais-accueil.fr/)
11:30:23	6560/6560	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Apr%202023%2015:19:22%20GMT	https://relais-accueil.fr/wp-content/uploads/elementor/thumbs/logo_relais-q520e3106yrvek7nb7wj60zgbp5vugdz6d8cnzsnhk.png	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/uploads/elementor/thumbs/logo_relais-q520e3106yrvek7nb7wj60zgbp5vugdz6d8cnzsnhk.png	(from https://relais-accueil.fr/)
11:30:25	26887/26887	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:37:49%20GMT	https://relais-accueil.fr/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from https://relais-accueil.fr/)
11:30:39	104880/-1	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2010:30:29%20GMT	https://relais-accueil.fr/fjt-paris-relais-18/	C:/My%20Web%20Sites/relais-accueil.fr/relais-accueil.fr/fjt-paris-relais-18/index.html	(from https://relais-accueil.fr/)
